      2 ?        S      0:00 [kthreadd]
 244592 ?        Sl    17:11  |   \_ /home/julia/idea-IC-241.15989.150/jbr/bin/java -classpath /home/julia/idea-IC-241.15989.150/lib/platform-loader.jar:/home/julia/idea-IC-241.15989.150/lib/util-8.jar:/home/julia/idea-IC-241.15989.150/lib/util.jar:/home/julia/idea-IC-241.15989.150/lib/app-client.jar:/home/julia/idea-IC-241.15989.150/lib/util_rt.jar:/home/julia/idea-IC-241.15989.150/lib/product.jar:/home/julia/idea-IC-241.15989.150/lib/opentelemetry.jar:/home/julia/idea-IC-241.15989.150/lib/app.jar:/home/julia/idea-IC-241.15989.150/lib/modules.jar:/home/julia/idea-IC-241.15989.150/lib/lib-client.jar:/home/julia/idea-IC-241.15989.150/lib/stats.jar:/home/julia/idea-IC-241.15989.150/lib/jps-model.jar:/home/julia/idea-IC-241.15989.150/lib/external-system-rt.jar:/home/julia/idea-IC-241.15989.150/lib/rd.jar:/home/julia/idea-IC-241.15989.150/lib/bouncy-castle.jar:/home/julia/idea-IC-241.15989.150/lib/protobuf.jar:/home/julia/idea-IC-241.15989.150/lib/intellij-test-discovery.jar:/home/julia/idea-IC-241.15989.150/lib/intellij-coverage-agent-1.0.744.jar:/home/julia/idea-IC-241.15989.150/lib/forms_rt.jar:/home/julia/idea-IC-241.15989.150/lib/lib.jar:/home/julia/idea-IC-241.15989.150/lib/externalProcess-rt.jar:/home/julia/idea-IC-241.15989.150/lib/groovy.jar:/home/julia/idea-IC-241.15989.150/lib/annotations.jar:/home/julia/idea-IC-241.15989.150/lib/grpc.jar:/home/julia/idea-IC-241.15989.150/lib/idea_rt.jar:/home/julia/idea-IC-241.15989.150/lib/jsch-agent.jar:/home/julia/idea-IC-241.15989.150/lib/junit4.jar:/home/julia/idea-IC-241.15989.150/lib/trove.jar -XX:ErrorFile=/home/julia/java_error_in_idea_%p.log -XX:HeapDumpPath=/home/julia/java_error_in_idea_.hprof -Xms128m -Xmx2048m -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -XX:+IgnoreUnrecognizedVMOptions -ea -Dsun.io.useCanonCaches=false -Dsun.java2d.metal=true -Djbr.catch.SIGABRT=true -Djdk.http.auth.tunneling.disabledSchemes="" -Djdk.attach.allowAttachSelf=true -Djdk.module.illegalAccess.silent=true -Dkotlinx.coroutines.debug=off -XX:CICompilerCount=2 -XX:ReservedCodeCacheSize=512m -XX:CompileCommand=exclude,com/intellij/openapi/vfs/impl/FilePartNodeRoot,trieDescend -XX:SoftRefLRUPolicyMSPerMB=50 -Dide.show.tips.on.startup.default.value=false -Dsun.tools.attach.tmp.only=true -Dawt.lock.fair=true -Xmx2048m -Djb.vmOptionsFile=/home/julia/.config/JetBrains/IdeaIC2024.1/idea64.vmoptions -Djava.system.class.loader=com.intellij.util.lang.PathClassLoader -Didea.vendor.name=JetBrains -Didea.paths.selector=IdeaIC2024.1 -Djna.boot.library.path=/home/julia/idea-IC-241.15989.150/lib/jna/amd64 -Dpty4j.preferred.native.folder=/home/julia/idea-IC-241.15989.150/lib/pty4j -Djna.nosys=true -Djna.noclasspath=true -Dintellij.platform.runtime.repository.path=/home/julia/idea-IC-241.15989.150/modules/module-descriptors.jar -Didea.platform.prefix=Idea -Dsplash=true -Daether.connector.resumeDownloads=false --add-opens=java.base/java.io=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.lang.ref=ALL-UNNAMED --add-opens=java.base/java.lang.reflect=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.nio=ALL-UNNAMED --add-opens=java.base/java.nio.charset=ALL-UNNAMED --add-opens=java.base/java.text=ALL-UNNAMED --add-opens=java.base/java.time=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.locks=ALL-UNNAMED --add-opens=java.base/jdk.internal.vm=ALL-UNNAMED --add-opens=java.base/sun.nio.ch=ALL-UNNAMED --add-opens=java.base/sun.nio.fs=ALL-UNNAMED --add-opens=java.base/sun.security.ssl=ALL-UNNAMED --add-opens=java.base/sun.security.util=ALL-UNNAMED --add-opens=java.base/sun.net.dns=ALL-UNNAMED --add-opens=java.desktop/com.sun.java.swing.plaf.gtk=ALL-UNNAMED --add-opens=java.desktop/java.awt=ALL-UNNAMED --add-opens=java.desktop/java.awt.dnd.peer=ALL-UNNAMED --add-opens=java.desktop/java.awt.event=ALL-UNNAMED --add-opens=java.desktop/java.awt.image=ALL-UNNAMED --add-opens=java.desktop/java.awt.peer=ALL-UNNAMED --add-opens=java.desktop/java.awt.font=ALL-UNNAMED --add-opens=java.desktop/javax.swing=ALL-UNNAMED --add-opens=java.desktop/javax.swing.plaf.basic=ALL-UNNAMED --add-opens=java.desktop/javax.swing.text=ALL-UNNAMED --add-opens=java.desktop/javax.swing.text.html=ALL-UNNAMED --add-opens=java.desktop/sun.awt.X11=ALL-UNNAMED --add-opens=java.desktop/sun.awt.datatransfer=ALL-UNNAMED --add-opens=java.desktop/sun.awt.image=ALL-UNNAMED --add-opens=java.desktop/sun.awt=ALL-UNNAMED --add-opens=java.desktop/sun.font=ALL-UNNAMED --add-opens=java.desktop/sun.java2d=ALL-UNNAMED --add-opens=java.desktop/sun.swing=ALL-UNNAMED --add-opens=java.desktop/com.sun.java.swing=ALL-UNNAMED --add-opens=jdk.attach/sun.tools.attach=ALL-UNNAMED --add-opens=jdk.compiler/com.sun.tools.javac.api=ALL-UNNAMED --add-opens=jdk.internal.jvmstat/sun.jvmstat.monitor=ALL-UNNAMED --add-opens=jdk.jdi/com.sun.tools.jdi=ALL-UNNAMED com.intellij.idea.Main
 244755 ?        S      0:11  |   |   \_ /home/julia/idea-IC-241.15989.150/bin/fsnotifier
 269436 ?        Sl     0:04  |   \_ /usr/lib/github-desktop/github-desktop
 269441 ?        S      0:00  |   |   \_ /usr/lib/github-desktop/github-desktop --type=zygote --no-zygote-sandbox
 269471 ?        Sl     0:05  |   |   |   \_ /usr/lib/github-desktop/github-desktop --type=gpu-process --enable-crash-reporter=b79262fc-0af7-444c-a426-c786b7461f57,no_channel --user-data-dir=/home/julia/.config/GitHub Desktop --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,4742402615976509835,11087857299697649983,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess --variations-seed-version
 269442 ?        S      0:00  |   |   \_ /usr/lib/github-desktop/github-desktop --type=zygote
 269444 ?        S      0:00  |   |   |   \_ /usr/lib/github-desktop/github-desktop --type=zygote
 269483 ?        Sl     0:01  |   |   \_ /usr/lib/github-desktop/github-desktop --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=none --enable-crash-reporter=b79262fc-0af7-444c-a426-c786b7461f57,no_channel --user-data-dir=/home/julia/.config/GitHub Desktop --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,4742402615976509835,11087857299697649983,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess --variations-seed-version
 269488 ?        SLl    0:08  |   |   \_ /usr/lib/github-desktop/github-desktop --type=renderer --enable-crash-reporter=b79262fc-0af7-444c-a426-c786b7461f57,no_channel --user-data-dir=/home/julia/.config/GitHub Desktop --app-path=/usr/lib/github-desktop/resources/app --no-sandbox --no-zygote --disable-blink-features=Auxclick --first-renderer-process --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1716906308427169 --launch-time-ticks=87090517048 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,4742402615976509835,11087857299697649983,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess --variations-seed-version
 281024 ?        Sl     0:00  |   \_ gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1920:1080:1:27:0:0:0:0
   1671 ?        Sl     0:00  \_ /usr/libexec/gnome-shell-calendar-server
   1677 ?        Ssl    0:00  \_ /usr/libexec/evolution-source-registry
   1697 ?        Sl     0:00  \_ /usr/libexec/goa-daemon
   1698 ?        Ssl    0:01  \_ /usr/libexec/dconf-service
   1701 ?        Ssl    0:02  \_ /usr/libexec/evolution-calendar-factory
   1704 ?        Ssl    0:00  \_ /usr/libexec/gvfs-udisks2-volume-monitor
   1715 ?        Sl     0:03  \_ /usr/libexec/goa-identity-service
   1722 ?        Ssl    0:00  \_ /usr/libexec/gvfs-gphoto2-volume-monitor
   1731 ?        Ssl    0:01  \_ /usr/libexec/evolution-addressbook-factory
   1735 ?        Ssl    0:00  \_ /usr/libexec/gvfs-mtp-volume-monitor
   1741 ?        Ssl    0:00  \_ /usr/libexec/gvfs-goa-volume-monitor
   1748 ?        Ssl    0:04  \_ /usr/libexec/gvfs-afc-volume-monitor
   1771 ?        Sl     0:01  \_ /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1773 ?        Sl     0:00  \_ /usr/libexec/at-spi2-registryd --use-gnome-session
   1788 ?        Ss     0:00  \_ sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
   1791 ?        Sl     2:33  |   \_ /usr/bin/ibus-daemon --panel disable
   1864 ?        Sl     0:00  |       \_ /usr/libexec/ibus-dconf
   1866 ?        Sl     0:34  |       \_ /usr/libexec/ibus-extension-gtk3
   1975 ?        Sl     0:40  |       \_ /usr/libexec/ibus-engine-simple
   1789 ?        Ssl    0:00  \_ /usr/libexec/gsd-a11y-settings
   1792 ?        Ssl    0:01  \_ /usr/libexec/gsd-color
   1794 ?        Ssl    0:00  \_ /usr/libexec/gsd-datetime
   1797 ?        Ssl    0:03  \_ /usr/libexec/gsd-housekeeping
   1798 ?        Ssl    0:00  \_ /usr/libexec/gsd-keyboard
   1799 ?        Ssl    0:01  \_ /usr/libexec/gsd-media-keys
   1800 ?        Ssl    0:02  \_ /usr/libexec/gsd-power
   1803 ?        Ssl    0:00  \_ /usr/libexec/gsd-print-notifications
   1806 ?        Ssl    0:00  \_ /usr/libexec/gsd-rfkill
   1813 ?        Ssl    0:02  \_ /usr/libexec/gsd-screensaver-proxy
   1815 ?        Ssl    0:13  \_ /usr/libexec/gsd-sharing
   1817 ?        Ssl    0:00  \_ /usr/libexec/gsd-smartcard
   1820 ?        Ssl    0:00  \_ /usr/libexec/gsd-sound
   1830 ?        Ssl    0:00  \_ /usr/libexec/gsd-wacom
   1873 ?        Sl     0:01  \_ /usr/libexec/ibus-portal
   1938 ?        Sl     0:24  \_ /snap/snap-store/1113/usr/bin/snap-store --gapplication-service
   1982 ?        Sl     0:00  \_ /usr/libexec/gsd-printer
   2056 ?        Ssl    0:48  \_ /usr/libexec/xdg-desktop-portal
   2059 ?        SNsl   0:05  \_ /usr/libexec/tracker-miner-fs-3
   2066 ?        Ssl    0:09  \_ /usr/libexec/xdg-desktop-portal-gnome
   2100 ?        Sl     0:00  \_ /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
   2145 ?        Ssl    0:02  \_ /usr/libexec/xdg-desktop-portal-gtk
   2193 ?        Ssl    0:00  \_ /usr/libexec/gvfsd-metadata
   2583 ?        Sl     0:03  \_ /usr/bin/snap userd
   8860 ?        Ssl    0:00  \_ /usr/bin/speech-dispatcher -s -t 0
   8875 ?        Z      0:00  |   \_ [sd_espeak-ng-mb] <defunct>
   8884 ?        Sl     0:00  |   \_ /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
   8904 ?        Sl     0:10  |   \_ /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
  22897 ?        Ssl    0:01  \_ /usr/libexec/gsd-xsettings
  22929 ?        Sl     0:04  \_ /usr/libexec/ibus-x11
  26350 ?        Sl     0:00  \_ /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/julia/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=eb3b91fb-1479-4719-86fa-dd59cc204c22&iid=eb3b91fb-1479-4719-86fa-dd59cc204c22&sid=eb3b91fb-1479-4719-86fa-dd59cc204c22 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.89.1 --annotation=lsb-release=Ubuntu 22.04.4 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=28.2.8 --initial-client-fd=42 --shared-client-connection
  87301 ?        Ssl    0:48  \_ /usr/libexec/gnome-terminal-server
 156434 pts/1    Ss     0:00  |   \_ bash
 171036 pts/1    T      0:00  |   |   \_ sudo ./script.sh
 171037 pts/3    Ss     0:00  |   |   |   \_ sudo ./script.sh
 171038 pts/3    T+     0:00  |   |   |       \_ /bin/sh ./script.sh
 171041 pts/3    T+     0:00  |   |   |           \_ less /sys/kernel/debug/tracing/trace
 171297 pts/1    T      0:00  |   |   \_ sudo ./script.sh
 171298 pts/4    Ss     0:00  |   |   |   \_ sudo ./script.sh
 171299 pts/4    T+     0:00  |   |   |       \_ /bin/sh ./script.sh
 171302 pts/4    T+     0:00  |   |   |           \_ less /sys/kernel/debug/tracing/trace
 282349 pts/1    S+     0:01  |   |   \_ strace -f -e trace=%process -othread.log ./task
 282352 pts/1    S+     0:00  |   |       \_ ./task
 282371 pts/1    S+     0:00  |   |           \_ sh -c -- ps axhf >> file.txt
 282372 pts/1    R+     0:00  |   |               \_ ps axhf
 175504 pts/7    Ss+    0:00  |   \_ bash
 109523 ?        Sl     0:01  \_ /usr/bin/gnome-calendar --gapplication-service
 109603 ?        SLl    0:00  \_ /usr/bin/seahorse --gapplication-service
 124069 ?        S      0:00  \_ /bin/sh -c while true; do /usr/bin/xdg-screensaver reset >/dev/null 2>&1; sleep 30; done
 282340 ?        S      0:00  |   \_ sleep 30
 171942 ?        Sl     0:41  \_ /usr/bin/nautilus --gapplication-service
 184299 ?        Sl     0:07  \_ /home/julia/.vscode/extensions/ms-vscode.cpptools-1.20.5-linux-x64/bin/cpptools-srv 26530 {DF0ABFAF-CCE9-4328-9F46-326A09CAE9A4}
 190113 ?        Sl     0:06  \_ /home/julia/.vscode/extensions/ms-vscode.cpptools-1.20.5-linux-x64/bin/cpptools-srv 26530 {ACA67602-303D-4AA1-B777-AC976CAF53F0}
 220188 ?        Sl     3:22  \_ /home/julia/Загрузки/tsetup.4.14.15/Telegram/Telegram
   1461 ?        Sl     0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
   2209 ?        Ssl    0:12 /usr/libexec/fwupd/fwupd
   2322 ?        Ss     0:00 /usr/sbin/kerneloops --test
   2327 ?        Ss     0:00 /usr/sbin/kerneloops
  60527 ?        Ssl    0:00 /usr/bin/lttng-sessiond
  60528 ?        S      0:00  \_ /usr/bin/lttng-sessiond
 124643 ?        Ss     0:00 /usr/sbin/cron -f -P
 124712 ?        Ss     2:15 /lib/systemd/systemd-oomd
 265193 ?        Ss     0:00 /usr/sbin/cupsd -l
 265195 ?        Ssl    0:00 /usr/sbin/cups-browsed
